company_id,revenue,ebitda,ebitda_margin,total_debt,cash,interest_expense,capex,free_cash_flow,leverage,coverage,liquidity_ratio,rating_bucket,pd
C001,5163807.218057565,612764.9499348062,0.11866534207396416,1997197.0268842399,532737.9039590942,125363.8375143893,356591.2963318916,130809.81608852529,3.259319951470343,4.887892410476608,0.26674278841191784,BBB,0.02325272837340414
C002,14631286.769408014,2331819.704270135,0.1593721550961359,3039570.9581708517,3508778.132655429,223524.71158287654,841845.8519677557,1266449.1407195027,1.3035188580852328,10.43204434873217,1.154366251336648,BBB,0.021157398018367825
C003,10236693.745522385,2922748.5324743628,0.2855168480304295,15983487.812008012,1788548.1302707226,1615816.8646415658,481112.876289525,825818.7915432719,5.468649674926563,1.8088365064333647,0.11189973998835405,CCC,0.27002792640059053
C004,4184311.1267533074,894608.8415928341,0.21380074628603907,1846544.9181362642,837000.821076082,106465.74815412432,278612.95953526016,509530.1339034496,2.0640807828911303,8.402785469536743,0.453279426270808,BBB,0.01390704693114217
C005,6653807.958052052,1274087.1136514242,0.1914823995047224,3420050.9218520443,1207282.5890104224,354426.45061707357,426045.69968764554,493614.9633467051,2.6843148205545164,3.5947856358722015,0.353001348984783,BB,0.03735229488031056
C006,20291614.27060031,5087213.176689482,0.2507051981596229,9986472.227395775,1520793.7058386558,796825.3959780681,802854.451606228,3487533.3291051863,1.963053617087558,6.384351204626394,0.15228537878137585,BBB,0.011631665808997453
C007,2640979.3660115013,655946.4636890924,0.24837243036840745,967197.2571103604,352706.8209217864,73086.97580409775,139489.02920041615,443370.45868457854,1.4745063974745287,8.974874886700617,0.3646689631601606,BBB,0.011624016997721776
C008,7170914.039638541,786762.61769486,0.10971580656885377,1609841.4387689375,1491349.7075148034,110014.60520818816,375535.4422650373,301212.5702216345,2.046159035219061,7.15143790414023,0.9263954024287349,BBB,0.026915964472674914
C009,16734250.90336243,4045329.096315918,0.2417394790885492,9517630.27140955,2987193.107203469,999455.1787515124,608263.4010161846,2437610.516548221,2.3527456097644213,4.047534278995096,0.3138589146687949,BBB,0.017673454983477145
C010,5761047.068443303,1543088.7925609343,0.2678486695610167,5948592.181612483,180471.33730710464,482177.46138285217,166894.70335895583,894016.6278191264,3.8549902055474763,3.2002507710241384,0.030338495529237022,BB,0.03242958491793794
C011,6328393.207301128,842863.3565799543,0.13318757684139076,1909554.5700508815,311544.92049035657,187597.6620681004,274275.6870275954,380990.00748425844,2.265556516538088,4.492931027434573,0.16315057206354425,BBB,0.027928513430704793
C012,8475121.229816042,2171322.563938802,0.25619958759999145,5711111.238684771,900861.6419418926,579444.2476073656,281069.3596068476,1310808.9567245888,2.630245424394593,3.7472501848186464,0.1577384162717438,BBB,0.01446540948707129
C013,18731081.475983456,2946536.2903594356,0.15730732334582037,3025334.911506355,4453509.7747350205,318697.67792151036,707159.3200821414,1920679.2923557837,1.0267427967558842,9.245553056979334,1.4720716565286183,BBB,0.01536248860622569
C014,6456184.080781767,1041343.4366156573,0.16129395066591146,2755119.8880473995,891353.0784813749,187907.01204146678,437130.1367544438,416306.2878197467,2.64573606667314,5.541801901388633,0.32352605864752115,BBB,0.013889956790888513
C015,7117086.642142075,1658653.361928626,0.2330522930699366,5643546.364865611,636543.5381337536,397241.616848311,306439.6417703587,954972.1033099564,3.402486917642326,4.175426973357609,0.1127914075618499,BB,0.06870004239531173
C016,7151440.494859125,874466.9468550556,0.12227843432154316,1512015.6715099034,781603.9470197549,129586.44518011957,387926.83793681726,356953.6637381188,1.729071266727389,6.748135930726275,0.5169284695569609,BBB,0.012250801723366091
C017,26774621.593329817,6237803.804240732,0.23297448976065885,23007821.126734443,2044070.413688045,1759625.462390456,985613.8419050485,3492564.4999452275,3.6884489876216877,3.544961094031146,0.08884241590842744,B,0.12777305937317412
C018,26519557.68204419,7361069.653558785,0.2775713585352445,17071690.486606967,3252995.357057427,1809096.4637079563,1850880.9193047832,3701092.270546045,2.319186108822307,4.068920481150799,0.19054910581992202,BBB,0.02864177486087821
C019,14680445.805908537,3512476.5480655185,0.23926225364708126,13502757.978894763,1144602.014073428,997230.5691636854,777159.0230773109,1738086.9558245223,3.844227226607776,3.5222311235517094,0.08476801671647208,B,0.12344010362578434
C020,10778815.085940367,2027124.0605462769,0.18806557533308182,2266091.0201850594,2328930.627209722,178265.8637131294,321213.7910370879,1527644.4057960594,1.117884723628797,11.371352979886176,1.0277303984989672,BBB,0.027174532189053288
C021,12847814.640407367,2410800.9006884987,0.18764287687544495,12039950.913422698,1675092.0573300198,1047850.9583088569,320028.7835552784,1042921.1588243635,4.994170572104987,2.3007097350746597,0.13912781450483733,CCC,0.24848942038265034
C022,18724923.727759715,4737765.57832853,0.2530192190478613,5081413.8940820005,1714387.4317310548,377469.62555473647,1257547.6873949806,3102748.2653788133,1.0725338369051827,12.55138230358488,0.33738393830262337,BBB,0.023478559571877167
C023,5565420.301961635,1186149.1256491106,0.21312840024517654,1863809.3344325828,1309188.1150402005,204177.90110764495,374212.6924506492,607758.5320908165,1.5713111396618262,5.809390336634713,0.7024259889967602,BBB,0.024017426799336352
C024,15997044.148058737,1871347.5441925717,0.11698083263836352,8415882.331737172,1586223.6704835847,470709.36333822843,816911.7555692862,583726.4252850572,4.49723107706771,3.9755902260391496,0.188479782387376,B,0.10666660101383807
C025,4747172.170128574,1027925.2115396975,0.21653421757228092,1240221.1097550564,1092501.0329140692,78426.86898534257,98976.52204383365,850521.8205105213,1.2065285449097678,13.106799045258448,0.8808921444095063,BBB,0.027410912412270685
C026,6459899.050462501,1698751.517565547,0.2629687405786819,7133897.011361769,255501.7981328682,494802.1591055013,202044.61024844277,1001904.7482116029,4.199494121179795,3.4331934214606785,0.035815178958421234,B,0.12555088801348604
C027,13985793.157739175,2341407.4596390123,0.167413276689522,12572673.50633741,2595278.088489893,740069.9402673912,840040.4313937901,761297.0879778313,5.36970763229558,3.163765114947176,0.2064221334612492,CCC,0.3789755582277666
C028,4349883.625233053,1241958.3974522394,0.2855153159150779,6113631.121745733,593565.930368817,409938.2495451386,277405.0913085663,554615.0565985346,4.922573199140382,3.029623117214112,0.09708893430903068,B,0.13025634826187837
C029,8285069.851650314,2072455.5424979392,0.25014340006863356,8695458.569068756,1058240.6505383512,841326.6380055253,353768.2632503362,877360.6412420776,4.195727430943143,2.4633185838629403,0.12170038441706749,B,0.1116232337050798
C030,5775425.850906537,1240635.1962589326,0.21481276502999289,6591859.350432964,219414.98755879528,536402.7990397577,221060.37841007544,483172.01880909945,5.313293843597501,2.312879795705499,0.03328575078659464,CCC,0.29973764319912866
C031,7819962.481397292,1957561.8064854145,0.25032879775858363,5743799.590226939,304589.89956046944,298891.35238814604,263620.7146810787,1395049.7394161897,2.9341600204896188,6.5494093115925525,0.05302933968635125,BBB,0.01907455253400101
C032,2192834.259037501,253995.53643854024,0.11582979214764105,1251678.6028393016,226313.20465978037,136379.59001469167,56681.53267495627,60934.4137488923,4.9279551144481335,1.8624160434210004,0.1808077601921233,CCC,0.20432937257061318
C033,3664613.5624050414,996327.1286648845,0.2718778151361223,2592253.394327684,873520.3713281439,225423.36266038302,94500.22105876775,676403.5449457337,2.601809505881266,4.419804215971727,0.3369733735288238,BBB,0.020702828000304332
C034,6262320.634083906,1655136.4952245215,0.26430082264011157,8580122.387569418,1038826.2793198044,459348.59577087784,423521.58939788816,772266.3100557555,5.1839364380673105,3.603225329222733,0.12107359690169683,CCC,0.2845946467428528
C035,14128876.161713522,3983980.4165084325,0.2819743319220418,6651253.126479972,1570459.415453335,596418.7079567341,853826.4350384778,2533735.2735132207,1.6694994530894662,6.679838112652632,0.23611481710131002,BBB,0.01315067192205273
C036,8147177.926818677,1024314.0432916026,0.125726239501876,5357296.188208312,1341310.2191523155,389487.01665203687,230067.89700587423,404759.1296336916,5.2301305671772305,2.629905489780967,0.2503707415140886,CCC,0.22381393967738616
C037,8898764.082711818,1035424.7486137818,0.11635601741879704,4915392.065187459,670512.4229913764,285782.850148157,270099.759015778,479542.13944984676,4.747222887774457,3.623117160728825,0.13641077132792356,B,0.10594815026509291
C038,12535953.523281703,1600629.5897858553,0.12768311455631795,7694621.428480205,831316.9619185079,644962.2107238723,661617.2590253521,294050.1200366309,4.807246771884088,2.4817416635765235,0.10803870855056538,B,0.07319304428369997
C039,5724305.720346978,1029663.7389999491,0.17987574202056003,1603859.3728588226,627382.7530267297,150161.00824889084,333344.7014629541,546158.029288104,1.5576535446577495,6.857064633538478,0.3911706747134832,BBB,0.02973159778200906
